sampleid,x,y
0,269,1
1,512,1
2,875,1
3,691,1
4,368,1
5,277,1
6,339,1
7,990,1
8,185,1
9,699,1
10,1021,0
11,1019,0
12,1007,0
13,93,1
14,696,1
15,859,1
16,746,1
17,298,1
18,662,1
19,430,1
20,504,1
21,541,1
22,329,1
23,741,1
24,282,1
25,717,1
26,872,1
27,575,1
28,454,1
29,868,1
30,647,1
31,212,1
32,122,1
33,444,1
34,107,1
35,880,1
36,862,1
37,1014,0
38,649,1
39,3,1
40,569,1
41,846,1
42,631,1
43,19,1
44,295,1
45,388,1
46,724,1
47,255,1
48,247,1
49,683,1
50,921,1
51,98,1
52,136,1
53,480,1
54,90,1
55,106,1
56,719,1
57,635,1
58,106,1
59,65,1
60,711,1
61,57,1
62,405,1
63,869,1
64,878,1
65,701,1
66,149,1
67,36,1
68,724,1
69,424,1
70,996,1
71,546,1
72,737,1
73,1012,0
74,987,1
75,833,1
76,53,1
77,774,1
78,534,1
79,538,1
80,394,1
81,767,1
82,617,1
83,687,1
84,87,1
85,852,1
86,591,1
87,22,1
88,332,1
89,962,1
90,439,1
91,836,1
92,125,1
93,823,1
94,707,1
95,242,1
96,460,1
97,32,1
98,287,1
99,1004,0
100,550,1
101,996,1
102,1009,0
103,879,1
104,444,1
105,1016,0
106,848,1
107,239,1
108,1020,0
109,221,1
110,771,1
111,855,1
112,374,1
113,456,1
114,657,1
115,371,1
116,235,1
117,289,1
118,275,1
119,300,1
120,825,1
121,635,1
122,726,1
123,609,1
124,407,1
125,656,1
126,268,1
127,322,1
128,23,1
129,102,1
130,564,1
131,410,1
132,759,1
133,494,1
134,203,1
135,80,1
136,3,1
137,653,1
138,851,1
139,783,1
140,144,1
141,192,1
142,669,1
143,102,1
144,352,1
145,442,1
146,299,1
147,16,1
148,902,1
149,226,1
150,712,1
151,562,1
152,92,1
153,176,1
154,458,1
155,856,1
156,76,1
157,988,1
158,250,1
159,889,1
160,518,1
161,125,1
162,184,1
163,791,1
164,712,1
165,324,1
166,964,1
167,29,1
168,660,1
169,967,1
170,337,1
171,190,1
172,703,1
173,86,1
174,187,1
175,178,1
176,715,1
177,959,1
178,376,1
179,665,1
180,564,1
181,800,1
182,1008,0
183,259,1
184,775,1
185,384,1
186,226,1
187,701,1
188,898,1
189,372,1
190,239,1
191,782,1
192,810,1
193,729,1
194,852,1
195,624,1
196,962,1
197,823,1
198,404,1
199,394,1
200,608,1
201,293,1
202,968,1
203,11,1
204,1018,0
205,307,1
206,161,1
207,734,1
208,433,1
209,837,1
210,946,1
211,449,1
212,981,1
213,429,1
214,584,1
215,48,1
216,323,1
217,147,1
218,652,1
219,287,1
220,720,1
221,482,1
222,946,1
223,804,1
224,325,1
225,895,1
226,576,1
227,529,1
228,503,1
229,772,1
230,55,1
231,764,1
232,167,1
233,13,1
234,202,1
235,377,1
236,598,1
237,219,1
238,230,1
239,985,1
240,476,1
241,340,1
242,343,1
243,10,1
244,807,1
245,858,1
246,868,1
247,764,1
248,361,1
249,117,1
250,106,1
251,69,1
252,105,1
253,564,1
254,357,1
255,20,1
256,9,1
257,923,1
258,616,1
259,168,1
260,417,1
261,455,1
262,708,1
263,66,1
264,135,1
265,968,1
266,250,1
267,170,1
268,573,1
269,902,1
270,811,1
271,800,1
272,562,1
273,909,1
274,510,1
275,361,1
276,407,1
277,703,1
278,61,1
279,7,1
280,323,1
281,489,1
282,708,1
283,489,1
284,527,1
285,81,1
286,773,1
287,294,1
288,745,1
289,10,1
290,35,1
291,861,1
292,108,1
293,40,1
294,292,1
295,382,1
296,53,1
297,757,1
298,610,1
299,1003,0
300,17,1
301,112,1
302,345,1
303,507,1
304,967,1
305,340,1
306,395,1
307,748,1
308,922,1
309,834,1
310,264,1
311,156,1
312,364,1
313,33,1
314,1004,0
315,904,1
316,670,1
317,717,1
318,196,1
319,279,1
320,686,1
321,872,1
322,338,1
323,30,1
324,139,1
325,245,1
326,1012,0
327,274,1
328,108,1
329,348,1
330,983,1
331,907,1
332,862,1
333,788,1
334,650,1
335,248,1
336,454,1
337,311,1
338,276,1
339,946,1
340,244,1
341,390,1
342,838,1
343,534,1
344,308,1
345,461,1
346,328,1
347,402,1
348,442,1
349,559,1
350,1019,0
351,834,1
352,655,1
353,489,1
354,256,1
355,1025,0
356,48,1
357,468,1
358,143,1
359,775,1
360,698,1
361,206,1
362,632,1
363,38,1
364,65,1
365,1016,0
366,439,1
367,437,1
368,983,1
369,875,1
370,77,1
371,326,1
372,345,1
373,682,1
374,459,1
375,666,1
376,372,1
377,173,1
378,87,1
379,841,1
380,333,1
381,895,1
382,891,1
383,602,1
384,705,1
385,251,1
386,321,1
387,727,1
388,332,1
389,196,1
390,148,1
391,1019,0
392,593,1
393,664,1
394,708,1
395,481,1
396,301,1
397,585,1
398,370,1
399,395,1
400,285,1
401,473,1
402,30,1
403,294,1
404,175,1
405,871,1
406,163,1
407,507,1
408,298,1
409,888,1
410,718,1
411,973,1
412,342,1
413,487,1
414,490,1
415,26,1
416,194,1
417,506,1
418,350,1
419,870,1
420,806,1
421,36,1
422,341,1
423,605,1
424,485,1
425,514,1
426,41,1
427,187,1
428,589,1
429,955,1
430,228,1
431,957,1
432,147,1
433,1012,0
434,311,1
435,132,1
436,831,1
437,139,1
438,778,1
439,218,1
440,630,1
441,666,1
442,232,1
443,649,1
444,488,1
445,132,1
446,23,1
447,234,1
448,381,1
449,376,1
450,52,1
451,411,1
452,544,1
453,645,1
454,44,1
455,872,1
456,16,1
457,113,1
458,374,1
459,870,1
460,280,1
461,231,1
462,1008,0
463,253,1
464,988,1
465,817,1
466,208,1
467,406,1
468,565,1
469,95,1
470,115,1
471,901,1
472,560,1
473,720,1
474,602,1
475,416,1
476,148,1
477,857,1
478,168,1
479,975,1
480,352,1
481,673,1
482,859,1
483,40,1
484,442,1
485,1023,0
486,184,1
487,883,1
488,67,1
489,123,1
490,95,1
491,283,1
492,923,1
493,1011,0
494,52,1
495,349,1
496,844,1
497,13,1
498,1007,0
499,552,1
500,153,1
501,866,1
502,877,1
503,623,1
504,121,1
505,4,1
506,466,1
507,462,1
508,261,1
509,292,1
510,212,1
511,698,1
512,525,1
513,786,1
514,169,1
515,464,1
516,387,1
517,458,1
518,242,1
519,350,1
520,890,1
521,160,1
522,618,1
523,197,1
524,58,1
525,494,1
526,548,1
527,318,1
528,390,1
529,581,1
530,866,1
531,771,1
532,262,1
533,899,1
534,777,1
535,952,1
536,325,1
537,261,1
538,599,1
539,201,1
540,353,1
541,352,1
542,371,1
543,520,1
544,342,1
545,395,1
546,287,1
547,871,1
548,84,1
549,802,1
550,433,1
551,370,1
552,1015,0
553,504,1
554,243,1
555,772,1
556,150,1
557,691,1
558,28,1
559,83,1
560,13,1
561,491,1
562,233,1
563,749,1
564,300,1
565,137,1
